Country_Region,Deaths
Afghanistan,733
Albania,58
Algeria,905
Andorra,52
Angola,11
Antigua and Barbuda,3
Argentina,1280
Armenia,433
Australia,104
Austria,703
Azerbaijan,206
Bahamas,11
Bahrain,84
Bangladesh,1783
Barbados,7
Belarus,387
Belgium,9732
Belize,2
Benin,19
Bhutan,0
Bolivia,1071
Bosnia and Herzegovina,184
Botswana,1
Brazil,58314
Brunei,3
Bulgaria,223
Burkina Faso,53
Burma,6
Burundi,1
Cabo Verde,12
Cambodia,0
Cameroon,313
Canada,8628
Central African Republic,47
Chad,74
Chile,5575
China,4641
Colombia,3256
Comoros,7
Congo (Brazzaville),37
Congo (Kinshasa),167
Costa Rica,15
Cote d'Ivoire,66
Croatia,107
Cuba,86
Cyprus,19
Czechia,348
Denmark,605
Diamond Princess,13
Djibouti,53
Dominica,0
Dominican Republic,733
Ecuador,4502
Egypt,2872
El Salvador,164
Equatorial Guinea,32
Eritrea,0
Estonia,69
Eswatini,11
Ethiopia,103
Fiji,0
Finland,328
France,29816
Gabon,42
Gambia,2
Georgia,15
Germany,8976
Ghana,112
Greece,191
Grenada,0
Guatemala,746
Guinea,31
Guinea-Bissau,24
Guyana,12
Haiti,105
Holy See,0
Honduras,485
Hungary,585
Iceland,10
India,16893
Indonesia,2805
Iran,10670
Iraq,1839
Ireland,1735
Israel,319
Italy,34744
Jamaica,10
Japan,972
Jordan,9
Kazakhstan,188
Kenya,144
"Korea, South",282
Kosovo,49
Kuwait,350
Kyrgyzstan,57
Laos,0
Latvia,30
Lebanon,34
Lesotho,0
Liberia,36
Libya,23
Liechtenstein,1
Lithuania,78
Luxembourg,110
MS Zaandam,2
Madagascar,20
Malawi,13
Malaysia,121
Maldives,8
Mali,115
Malta,9
Mauritania,128
Mauritius,10
Mexico,27121
Moldova,536
Monaco,4
Mongolia,0
Montenegro,11
Morocco,225
Mozambique,6
Namibia,0
Nepal,29
Netherlands,6126
New Zealand,22
Nicaragua,74
Niger,67
Nigeria,573
North Macedonia,298
Norway,249
Oman,169
Pakistan,4304
Panama,620
Papua New Guinea,0
Paraguay,16
Peru,9504
Philippines,1255
Poland,1444
Portugal,1568
Qatar,113
Romania,1634
Russia,9152
Rwanda,2
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,42
Sao Tome and Principe,13
Saudi Arabia,1599
Senegal,108
Serbia,274
Seychelles,0
Sierra Leone,60
Singapore,26
Slovakia,28
Slovenia,111
Somalia,90
South Africa,2529
South Sudan,36
Spain,28346
Sri Lanka,11
Sudan,572
Suriname,13
Sweden,5310
Switzerland,1962
Syria,9
Taiwan*,7
Tajikistan,52
Tanzania,21
Thailand,58
Timor-Leste,0
Togo,14
Trinidad and Tobago,8
Tunisia,50
Turkey,5115
US,126140
Uganda,0
Ukraine,1161
United Arab Emirates,314
United Kingdom,43659
Uruguay,27
Uzbekistan,23
Venezuela,48
Vietnam,0
West Bank and Gaza,5
Western Sahara,1
Yemen,304
Zambia,22
Zimbabwe,7
