,Province_State,Last_Update,Lat,Lng,Confirmed,Deaths,Recovered,Active,Incident_Rate
0,Alabama,2020-06-30 04:34:02,32.3182,-86.9023,37175,929,18866.0,17380.0,758.1806519639786
1,Alaska,2020-06-30 04:34:02,61.3707,-152.4044,901,14,525.0,362.0,123.16398854479219
2,American Samoa,2020-06-30 04:34:02,-14.270999999999999,-170.132,0,0,0.0,0.0,0.0
3,Arizona,2020-06-30 04:34:02,33.7298,-111.4312,74545,1598,9179.0,63768.0,1024.1502726373344
4,Arkansas,2020-06-30 04:34:02,34.9697,-92.3731,20257,265,14066.0,5926.0,671.2496901720589
5,California,2020-06-30 04:34:02,36.1162,-119.6816,223646,5983,0.0,217663.0,566.0172549643687
6,Colorado,2020-06-30 04:34:02,39.0598,-105.3111,32494,1681,4459.0,26354.0,564.2557672378106
7,Connecticut,2020-06-30 04:34:02,41.5978,-72.7554,46362,4320,8053.0,33989.0,1300.3721720018616
8,Delaware,2020-06-30 04:34:02,39.3185,-75.5071,11376,507,6665.0,4204.0,1168.2502125771746
9,District of Columbia,2020-06-30 04:34:02,38.8974,-77.0268,10292,551,1200.0,8541.0,1458.3088321768787
10,Florida,2020-06-30 04:34:02,27.7663,-81.6868,146341,3447,0.0,142894.0,681.3613557145243
11,Georgia,2020-06-30 04:34:02,33.0406,-83.6431,79417,2784,0.0,76633.0,747.987529554017
12,Guam,2020-06-30 04:34:02,13.4443,144.7937,253,5,179.0,69.0,154.05318183755608
13,Hawaii,2020-06-30 04:34:02,21.0943,-157.4983,900,18,719.0,163.0,63.56506802874837
14,Idaho,2020-06-30 04:34:02,44.2405,-114.4788,5752,91,3898.0,1763.0,321.8685386373747
15,Illinois,2020-06-30 04:34:02,40.3495,-88.9861,142461,6902,0.0,135559.0,1124.2346305239003
16,Indiana,2020-06-30 04:34:02,39.8494,-86.2583,45228,2624,34348.0,8256.0,671.8141522134083
17,Iowa,2020-06-30 04:34:02,42.0115,-93.2105,28845,711,17851.0,10283.0,914.2427901758124
18,Kansas,2020-06-30 04:34:02,38.5266,-96.7265,14209,273,794.0,13142.0,487.72634875609015
19,Kentucky,2020-06-30 04:34:02,37.6681,-84.6701,15347,560,3939.0,10848.0,343.5121594619838
20,Louisiana,2020-06-30 04:34:02,31.1695,-91.8678,57081,3199,42225.0,11657.0,1227.866840303098
21,Maine,2020-06-30 04:34:02,44.6939,-69.3819,3219,105,2623.0,491.0,239.47115484759846
22,Maryland,2020-06-30 04:34:02,39.0639,-76.8021,67254,3175,4979.0,59100.0,1112.4306943139563
23,Massachusetts,2020-06-30 04:34:02,42.2302,-71.5301,108768,8094,0.0,100674.0,1578.0624252176606
24,Michigan,2020-06-30 04:34:02,43.3266,-84.5361,70223,6161,51099.0,12963.0,703.1541555065824
25,Minnesota,2020-06-30 04:34:02,45.6945,-93.9002,35861,1470,31225.0,3166.0,635.874823038099
26,Mississippi,2020-06-30 04:34:02,32.7416,-89.6787,26567,1059,19388.0,6120.0,892.6636401604892
27,Missouri,2020-06-30 04:34:02,38.4561,-92.2884,20825,1004,0.0,19821.0,339.3115161595378
28,Montana,2020-06-30 04:34:02,46.9219,-110.4544,919,22,609.0,288.0,85.98605135959009
29,Nebraska,2020-06-30 04:34:02,41.1254,-98.2681,19042,269,13322.0,5451.0,984.383852837664
30,Nevada,2020-06-30 04:34:02,38.3135,-117.0554,17894,504,689.0,16701.0,580.9446015071964
31,New Hampshire,2020-06-30 04:34:02,43.4525,-71.5639,5760,367,4435.0,958.0,423.6194308937708
32,New Jersey,2020-06-30 04:34:02,40.2989,-74.521,171272,14992,30163.0,126117.0,1928.2631873445623
33,New Mexico,2020-06-30 04:34:02,34.8405,-106.2485,11982,493,5264.0,6225.0,571.434294355906
34,New York,2020-06-30 04:34:02,42.1657,-74.9481,393403,31403,70435.0,291565.0,2021.7583814089357
35,North Carolina,2020-06-30 04:34:02,35.6301,-79.8064,63736,1357,45538.0,16841.0,607.699175559616
36,North Dakota,2020-06-30 04:34:02,47.5289,-99.78399999999999,3539,79,3163.0,297.0,464.39790988134826
37,Northern Mariana Islands,2020-06-30 04:34:02,15.0979,145.6739,30,2,19.0,9.0,54.403017554040325
38,Ohio,2020-06-30 04:34:02,40.3888,-82.7649,51046,2818,0.0,48228.0,436.6974360729226
39,Oklahoma,2020-06-30 04:34:02,35.5653,-96.9289,13175,385,9587.0,3203.0,332.95669844434036
40,Oregon,2020-06-30 04:34:02,44.571999999999996,-122.0709,8485,204,2700.0,5581.0,201.17423158437808
41,Pennsylvania,2020-06-30 04:34:02,40.5908,-77.2098,90467,6614,67070.0,16783.0,706.6636285970876
42,Puerto Rico,2020-06-30 04:34:02,18.2208,-66.5901,7250,153,0.0,7097.0,247.15279974691555
43,Rhode Island,2020-06-30 04:34:02,41.6809,-71.5118,16764,946,1627.0,14191.0,1582.4633906666377
44,South Carolina,2020-06-30 04:34:02,33.8569,-80.945,34644,720,13456.0,20468.0,672.8670499079965
45,South Dakota,2020-06-30 04:34:02,44.2998,-99.4388,6716,91,5818.0,807.0,759.1625699845929
46,Tennessee,2020-06-30 04:34:02,35.7478,-86.6923,42297,592,26962.0,14743.0,619.3574801286362
47,Texas,2020-06-30 04:34:02,31.0545,-97.5635,156706,2416,81335.0,72955.0,540.4422786808926
48,Utah,2020-06-30 04:34:02,40.15,-111.8624,21664,168,12205.0,9291.0,675.7418531371902
49,Vermont,2020-06-30 04:34:02,44.0459,-72.7107,1208,56,949.0,203.0,193.59315628961411
50,Virgin Islands,2020-06-30 04:34:02,18.3358,-64.8963,81,6,71.0,4.0,75.51180221501285
51,Virginia,2020-06-30 04:34:02,37.7693,-78.17,62189,1740,8023.0,52426.0,728.590727757738
52,Washington,2020-06-30 04:34:02,47.4009,-121.4905,32253,1320,0.0,30933.0,423.5515850321206
53,West Virginia,2020-06-30 04:34:02,38.4912,-80.9545,2870,93,2196.0,581.0,160.14311326024037
54,Wisconsin,2020-06-30 04:34:02,44.2685,-89.6165,28058,777,22217.0,5064.0,481.8946852811041
55,Wyoming,2020-06-30 04:34:02,42.756,-107.3025,1450,20,1070.0,360.0,250.53606077832046
