Countries and territories without lockdowns,Countries and territories without lockdowns,Countries and territories without lockdowns
Countries and territories,Countries and territories,Ref
Belarus,Belarus,[270]
Indonesia,Indonesia,[264]
Japan,Japan,[262]
Malawi,Malawi,[267]
New Zealand,New Zealand,
Nicaragua,Nicaragua,[266]
South Korea,South Korea,[263]
Sweden,Sweden,[260]
Taiwan,Taiwan,[271]
United States,Arkansas,[268][269]
United States,Iowa,[268][269]
United States,Nebraska,[268][269]
United States,North Dakota,[268][269]
United States,South Dakota,[268][269]
United States,Wyoming,[268][269]
